STD_CONC,STD_SIGNAL,P5C2,P6C2,P7C8,P10C4
0,0.104255207,0.327901048,0.403696775,0.295071147,0.314147559
62.5,0.13638586,0.323342422,0.340547479,0.300219543,0.313138069
125,0.176556641,0.268203036,0.27184809,0.284665095,0.291428918
250,0.281699453,,,,
500,0.384163562,,,,
750,0.494369664,,,,
1000,0.653433366,,,,
1500,0.909090032,,,,
0,0.105742448,,,,
62.5,0.137506695,,,,
125,0.176099377,,,,
250,0.276212425,,,,
500,0.390180413,,,,
750,0.546438317,,,,
1000,0.649818086,,,,
1500,0.854433208,,,,
0,0.104898961,,,,
62.5,0.139728711,,,,
125,0.17967691,,,,
250,0.27363998,,,,
500,0.394688972,,,,
750,0.552434738,,,,
1000,0.618601169,,,,
1500,0.829432048,,,,